,0
0,1.91
1,1.91
2,1.91
3,1.91
4,1.91
5,1.91
6,1.91
7,1.91
8,1.91
9,1.91
10,1.91
11,1.91
12,1.91
13,1.91
14,1.91
15,1.91
16,1.91
17,1.91
18,1.91
19,1.91
20,1.905
21,1.905
22,1.91
23,1.91
24,1.91
25,1.915
26,1.915
27,1.915
28,1.926
29,1.931
30,1.931
31,1.931
32,1.936
33,1.936
34,1.936
35,1.936
36,1.936
37,1.936
38,1.936
39,1.936
40,1.936
41,1.936
42,1.936
43,1.936
44,1.942
45,1.942
46,1.942
47,1.942
48,1.947
49,1.947
50,1.947
51,1.947
52,1.947
53,1.947
54,1.947
55,1.953
56,1.958
57,1.958
58,1.969
59,1.975
60,1.98
61,1.98
62,1.98
63,1.98
64,1.98
65,1.98
66,1.98
67,1.98
68,1.98
69,1.98
70,1.98
71,1.98
72,1.98
73,1.98
74,1.98
75,1.98
76,1.98
77,1.98
78,1.986
79,1.986
80,1.986
81,1.986
82,1.986
83,1.986
84,1.986
85,1.986
86,1.986
87,1.986
88,1.986
89,1.986
90,1.986
91,1.991
92,1.991
93,1.991
94,1.991
95,1.991
96,1.991
97,1.997
98,1.997
99,1.997
100,1.997
101,1.997
102,1.997
103,1.997
104,1.997
105,1.997
106,1.997
107,1.997
108,1.997
109,1.997
110,1.997
111,1.997
112,2.003
113,2.003
114,2.003
115,1.997
116,1.997
117,2.003
118,2.003
119,2.003
120,2.003
121,2.003
122,2.003
123,2.003
124,2.003
125,2.003
126,2.009
127,2.009
128,2.009
129,2.014
130,2.014
131,2.02
132,2.02
133,2.02
134,2.026
135,2.026
136,2.026
137,2.026
138,2.026
139,2.026
140,2.026
141,2.026
142,2.026
143,2.026
144,2.026
145,2.026
146,2.026
147,2.026
148,2.026
149,2.026
150,2.026
151,2.026
152,2.026
153,2.026
154,2.026
155,2.026
156,2.026
157,2.026
158,2.026
159,2.026
160,2.026
161,2.026
162,2.026
163,2.026
164,2.026
165,2.026
166,2.026
167,2.026
168,2.026
169,2.026
170,2.026
171,2.026
172,2.026
173,2.032
174,2.032
175,2.032
176,2.032
177,2.032
178,2.032
179,2.032
180,2.032
181,2.032
182,2.032
183,2.032
184,2.032
185,2.032
186,2.032
187,2.032
188,2.032
189,2.038
190,2.038
191,2.038
192,2.038
193,2.044
194,2.044
195,2.044
196,2.044
197,2.044
198,2.05
199,2.05
200,2.05
201,2.05
202,2.05
203,2.056
204,2.056
205,2.056
206,2.062
207,2.062
208,2.062
209,2.062
210,2.062
211,2.056
212,2.056
213,2.056
214,2.056
215,2.056
216,2.056
217,2.056
218,2.062
219,2.062
220,2.062
221,2.062
222,2.062
223,2.062
224,2.062
225,2.068
226,2.068
227,2.068
228,2.068
229,2.068
230,2.068
231,2.068
232,2.068
233,2.068
234,2.068
235,2.068
236,2.068
237,2.068
238,2.068
239,2.068
240,2.068
241,2.074
242,2.074
