,0
0,1.839
1,1.839
2,1.839
3,1.844
4,1.844
5,1.849
6,1.849
7,1.849
8,1.849
9,1.854
10,1.854
11,1.859
12,1.859
13,1.854
14,1.849
15,1.849
16,1.849
17,1.849
18,1.854
19,1.854
20,1.854
21,1.854
22,1.854
23,1.849
24,1.849
25,1.849
26,1.854
27,1.859
28,1.859
29,1.864
30,1.854
31,1.854
32,1.854
33,1.854
34,1.854
35,1.854
36,1.854
37,1.854
38,1.854
39,1.854
40,1.854
41,1.854
42,1.854
43,1.859
44,1.859
45,1.859
46,1.859
47,1.859
48,1.859
49,1.859
50,1.859
51,1.859
52,1.864
53,1.864
54,1.864
55,1.864
56,1.864
57,1.864
58,1.864
59,1.859
60,1.859
61,1.859
62,1.859
63,1.859
64,1.859
65,1.859
66,1.859
67,1.864
68,1.864
69,1.869
70,1.869
71,1.869
72,1.869
73,1.869
74,1.874
75,1.874
76,1.874
77,1.874
78,1.874
79,1.874
80,1.874
81,1.874
82,1.874
83,1.874
84,1.874
85,1.874
86,1.874
87,1.874
88,1.874
89,1.874
90,1.874
91,1.874
92,1.874
93,1.869
94,1.869
95,1.874
96,1.874
97,1.879
98,1.879
99,1.874
100,1.874
101,1.874
102,1.874
103,1.874
104,1.874
105,1.874
106,1.874
107,1.874
108,1.874
109,1.874
110,1.874
111,1.874
112,1.874
113,1.874
114,1.874
115,1.884
116,1.884
117,1.889
118,1.889
119,1.889
120,1.889
121,1.889
122,1.894
123,1.894
124,1.899
125,1.899
126,1.899
127,1.899
128,1.905
129,1.905
130,1.905
131,1.905
132,1.91
133,1.91
134,1.91
135,1.91
136,1.91
137,1.91
138,1.91
139,1.91
140,1.91
141,1.91
142,1.91
143,1.91
144,1.91
145,1.91
146,1.91
147,1.91
148,1.905
149,1.905
150,1.905
151,1.905
152,1.905
153,1.905
154,1.905
155,1.905
156,1.905
157,1.905
158,1.905
159,1.905
160,1.905
161,1.905
162,1.905
163,1.905
164,1.905
165,1.905
166,1.905
167,1.905
168,1.905
169,1.905
170,1.905
171,1.905
172,1.905
173,1.91
174,1.915
175,1.915
176,1.915
177,1.915
178,1.915
179,1.915
180,1.915
181,1.915
182,1.915
183,1.915
184,1.915
185,1.915
186,1.915
187,1.92
188,1.926
189,1.926
190,1.926
191,1.926
192,1.926
193,1.926
194,1.926
195,1.926
196,1.926
197,1.926
198,1.931
199,1.931
200,1.931
201,1.931
202,1.931
203,1.936
204,1.942
205,1.942
206,1.942
207,1.942
208,1.942
209,1.942
210,1.942
211,1.942
212,1.942
213,1.947
214,1.953
215,1.953
216,1.953
217,1.958
218,1.963
219,1.963
220,1.969
221,1.969
222,1.969
223,1.969
224,1.969
225,1.969
226,1.969
227,1.969
228,1.975
229,1.975
230,1.969
231,1.969
232,1.969
233,1.975
234,1.975
235,1.975
236,1.975
237,1.975
238,1.975
239,1.975
240,1.98
241,1.98
242,1.98
243,1.98
244,1.98
245,1.98
246,1.98
247,1.98
248,1.98
249,1.986
250,1.986
251,1.991
252,1.991
253,1.991
254,1.991
255,1.991
256,1.997
257,2.009
258,2.009
259,2.014
260,2.02
261,2.02
262,2.02
263,2.02
264,2.026
265,2.026
266,2.026
267,2.026
268,2.026
269,2.032
270,2.032
271,2.038
272,2.038
273,2.038
274,2.038
275,2.032
276,2.032
277,2.032
278,2.032
279,2.032
280,2.032
281,2.032
282,2.032
283,2.032
284,2.032
285,2.032
286,2.038
