,0
0,1.874
1,1.874
2,1.874
3,1.874
4,1.874
5,1.874
6,1.874
7,1.874
8,1.874
9,1.874
10,1.874
11,1.874
12,1.879
13,1.879
14,1.879
15,1.879
16,1.879
17,1.879
18,1.884
19,1.884
20,1.884
21,1.884
22,1.884
23,1.884
24,1.884
25,1.884
26,1.889
27,1.889
28,1.889
29,1.889
30,1.894
31,1.894
32,1.894
33,1.894
34,1.894
35,1.899
36,1.899
37,1.899
38,1.899
39,1.899
40,1.899
41,1.899
42,1.899
43,1.899
44,1.905
45,1.905
46,1.91
47,1.91
48,1.91
49,1.91
50,1.905
51,1.905
52,1.905
53,1.905
54,1.905
55,1.905
56,1.905
57,1.905
58,1.905
59,1.899
60,1.899
61,1.899
62,1.899
63,1.905
64,1.899
65,1.899
66,1.899
67,1.905
68,1.905
69,1.905
70,1.905
71,1.905
72,1.91
73,1.915
74,1.915
75,1.92
76,1.92
77,1.926
78,1.926
79,1.926
80,1.915
81,1.915
82,1.915
83,1.915
84,1.915
85,1.915
86,1.915
87,1.915
88,1.92
89,1.926
90,1.926
91,1.926
92,1.926
93,1.926
94,1.926
95,1.926
96,1.926
97,1.926
98,1.926
99,1.926
100,1.92
101,1.92
102,1.92
103,1.92
104,1.926
105,1.926
106,1.926
107,1.926
108,1.926
109,1.926
110,1.926
111,1.926
112,1.926
113,1.926
114,1.926
115,1.926
116,1.926
117,1.926
118,1.926
119,1.926
120,1.926
121,1.926
122,1.926
123,1.931
124,1.931
125,1.931
126,1.931
127,1.931
128,1.931
129,1.931
130,1.931
131,1.931
132,1.931
133,1.931
134,1.926
135,1.926
136,1.926
137,1.926
138,1.936
139,1.931
140,1.936
141,1.936
142,1.936
143,1.942
144,1.942
145,1.947
146,1.947
147,1.947
148,1.947
149,1.947
150,1.942
151,1.942
152,1.942
153,1.942
154,1.942
155,1.942
156,1.942
157,1.942
158,1.942
159,1.942
160,1.942
161,1.942
162,1.942
163,1.942
164,1.942
165,1.947
166,1.947
167,1.947
168,1.947
169,1.947
170,1.947
171,1.947
172,1.947
173,1.947
174,1.947
175,1.947
176,1.947
177,1.942
178,1.936
179,1.936
180,1.936
181,1.936
182,1.936
183,1.936
184,1.936
185,1.936
186,1.936
187,1.936
188,1.936
189,1.936
190,1.942
191,1.947
192,1.947
193,1.947
194,1.947
195,1.947
196,1.953
197,1.953
198,1.953
199,1.953
200,1.953
201,1.953
202,1.953
203,1.953
204,1.953
205,1.953
206,1.953
207,1.953
208,1.958
209,1.958
210,1.958
211,1.958
212,1.963
213,1.963
214,1.958
215,1.958
216,1.953
217,1.953
218,1.953
219,1.953
220,1.958
221,1.958
222,1.958
223,1.969
224,1.969
225,1.969
226,1.969
227,1.969
228,1.975
229,1.975
230,1.975
231,1.975
232,1.98
233,1.98
234,1.98
235,1.98
236,1.975
237,1.975
238,1.975
239,1.975
240,1.975
241,1.975
242,1.969
243,1.969
244,1.963
245,1.963
246,1.963
247,1.963
248,1.963
249,1.963
250,1.963
251,1.963
252,1.963
253,1.969
254,1.975
255,1.975
256,1.975
257,1.975
258,1.975
259,1.975
260,1.969
261,1.969
262,1.969
263,1.969
264,1.969
265,1.969
266,1.969
267,1.969
268,1.969
269,1.969
270,1.975
271,1.975
272,1.975
273,1.98
274,1.991
275,1.991
276,1.991
277,1.991
278,1.991
279,1.997
280,2.003
281,2.003
282,2.009
283,2.009
284,2.009
285,2.009
286,2.014
287,2.014
288,2.014
289,2.014
290,2.014
291,2.014
292,2.014
293,2.02
294,2.02
295,2.02
296,2.02
297,2.02
298,2.02
299,2.02
300,2.014
301,2.009
302,2.009
303,2.009
304,2.009
305,2.009
306,2.009
307,2.009
308,2.009
309,2.009
310,2.009
311,2.009
312,2.009
313,2.009
314,2.009
315,2.009
316,2.003
317,2.003
318,2.003
319,2.003
320,2.003
321,2.003
322,2.003
323,2.003
324,2.003
325,2.009
326,2.009
327,2.009
328,2.003
329,2.003
330,2.003
331,2.009
332,2.014
333,2.014
334,2.014
335,2.014
336,2.014
337,2.014
338,2.014
339,2.014
340,2.014
341,2.014
342,2.014
343,2.014
344,2.014
345,2.014
346,2.014
347,2.014
348,2.014
349,2.014
350,2.014
351,2.014
352,2.014
353,2.014
354,2.014
355,2.014
356,2.014
357,2.014
358,2.014
359,2.014
360,2.014
361,2.014
362,2.014
363,2.02
364,2.02
365,2.02
366,2.02
367,2.02
368,2.026
369,2.026
370,2.026
371,2.026
372,2.026
373,2.026
374,2.026
375,2.032
376,2.038
377,2.038
378,2.038
379,2.038
380,2.038
381,2.038
382,2.038
383,2.038
384,2.038
385,2.038
386,2.038
387,2.038
388,2.038
389,2.038
390,2.038
391,2.038
392,2.044
393,2.044
394,2.044
395,2.044
396,2.044
397,2.044
398,2.044
399,2.044
400,2.044
401,2.05
402,2.05
403,2.05
404,2.044
405,2.044
406,2.044
407,2.044
408,2.044
409,2.044
410,2.044
411,2.044
412,2.044
413,2.044
414,2.044
415,2.044
416,2.044
417,2.044
418,2.05
419,2.05
420,2.044
421,2.044
422,2.05
423,2.05
424,2.05
425,2.05
426,2.05
427,2.05
428,2.05
429,2.05
430,2.05
431,2.05
432,2.05
433,2.05
434,2.05
435,2.05
436,2.05
437,2.05
438,2.056
439,2.062
440,2.062
441,2.062
442,2.062
443,2.062
444,2.062
445,2.062
446,2.062
447,2.062
448,2.062
449,2.062
450,2.062
451,2.062
452,2.062
453,2.068
454,2.068
455,2.068
456,2.062
457,2.068
458,2.074
459,2.074
460,2.074
461,2.068
462,2.068
463,2.074
464,2.074
465,2.074
466,2.068
467,2.068
468,2.068
469,2.068
470,2.068
471,2.074
472,2.074
473,2.074
474,2.074
475,2.074
476,2.074
477,2.074
478,2.074
479,2.08
480,2.08
481,2.08
482,2.08
483,2.08
484,2.08
485,2.08
486,2.08
487,2.08
488,2.087
489,2.08
490,2.08
491,2.08
492,2.08
493,2.074
494,2.068
495,2.068
496,2.068
497,2.068
498,2.068
499,2.068
500,2.068
501,2.074
502,2.074
503,2.074
504,2.08
505,2.087
506,2.087
507,2.087
508,2.087
509,2.087
510,2.087
511,2.087
512,2.087
513,2.093
514,2.093
515,2.093
516,2.093
517,2.093
518,2.093
519,2.093
520,2.093
521,2.093
522,2.099
523,2.093
524,2.093
525,2.087
526,2.087
527,2.087
528,2.087
529,2.087
530,2.087
531,2.087
532,2.087
533,2.087
534,2.087
535,2.087
536,2.087
537,2.093
538,2.093
539,2.099
540,2.099
541,2.099
542,2.105
543,2.105
544,2.105
545,2.105
546,2.105
547,2.105
548,2.105
549,2.105
550,2.105
551,2.105
552,2.105
553,2.105
554,2.105
555,2.105
556,2.105
557,2.105
558,2.105
559,2.105
560,2.105
561,2.105
562,2.105
563,2.105
564,2.105
565,2.105
566,2.105
567,2.105
568,2.105
569,2.112
570,2.112
571,2.105
572,2.112
573,2.118
574,2.125
575,2.125
576,2.125
577,2.125
578,2.125
579,2.125
580,2.125
581,2.131
582,2.131
583,2.131
584,2.131
585,2.131
586,2.131
587,2.131
588,2.131
589,2.138
590,2.138
591,2.138
592,2.138
593,2.138
594,2.138
595,2.138
596,2.138
597,2.138
598,2.138
599,2.138
600,2.138
601,2.138
602,2.138
603,2.138
604,2.138
605,2.138
606,2.138
607,2.138
608,2.138
609,2.138
610,2.138
611,2.138
612,2.138
613,2.138
614,2.138
615,2.138
616,2.138
617,2.138
618,2.138
619,2.138
620,2.138
621,2.141
622,2.141
623,2.141
624,2.141
625,2.141
626,2.141
627,2.141
628,2.141
629,2.141
630,2.141
631,2.141
632,2.141
633,2.141
634,2.141
635,2.141
636,2.141
637,2.141
638,2.141
639,2.141
640,2.141
641,2.141
642,2.141
643,2.141
644,2.141
645,2.141
646,2.141
647,2.141
648,2.141
649,2.148
650,2.148
651,2.148
652,2.148
653,2.148
654,2.148
655,2.148
656,2.148
657,2.148
658,2.148
659,2.148
660,2.148
661,2.148
662,2.148
663,2.141
664,2.141
665,2.141
666,2.141
667,2.141
668,2.141
669,2.141
670,2.141
671,2.141
672,2.141
673,2.141
674,2.141
675,2.141
676,2.141
677,2.141
678,2.141
679,2.141
680,2.148
681,2.148
682,2.148
683,2.148
684,2.148
685,2.154
686,2.154
687,2.154
688,2.154
689,2.154
690,2.154
691,2.154
692,2.154
693,2.161
694,2.174
695,2.174
696,2.174
697,2.174
698,2.174
699,2.174
700,2.174
701,2.168
702,2.174
703,2.174
704,2.174
705,2.174
706,2.174
707,2.174
708,2.174
709,2.174
710,2.181
711,2.174
712,2.174
713,2.174
714,2.174
715,2.174
716,2.174
717,2.174
718,2.174
