,0
0,2.032
1,2.032
2,2.032
3,2.032
4,2.032
5,2.032
6,2.032
7,2.032
8,2.032
9,2.032
10,2.032
11,2.032
12,2.032
13,2.032
14,2.032
15,2.032
16,2.032
17,2.032
18,2.032
19,2.032
20,2.032
21,2.032
22,2.032
23,2.032
24,2.032
25,2.032
26,2.032
27,2.032
28,2.032
29,2.032
30,2.032
31,2.032
32,2.032
33,2.032
34,2.032
35,2.032
36,2.032
37,2.032
38,2.032
39,2.044
40,2.044
41,2.044
42,2.044
43,2.044
44,2.044
45,2.044
46,2.044
47,2.05
48,2.05
49,2.05
50,2.05
51,2.05
52,2.05
53,2.05
54,2.056
55,2.056
56,2.056
57,2.056
58,2.056
59,2.056
60,2.056
61,2.056
62,2.056
63,2.056
64,2.056
65,2.056
66,2.056
67,2.056
68,2.056
69,2.056
70,2.056
71,2.056
72,2.056
73,2.056
74,2.056
75,2.056
76,2.062
77,2.062
78,2.074
79,2.074
80,2.074
81,2.074
82,2.074
83,2.074
84,2.08
85,2.08
86,2.08
87,2.08
88,2.08
89,2.08
90,2.08
91,2.093
92,2.093
93,2.099
94,2.099
95,2.099
96,2.099
97,2.099
98,2.099
99,2.105
100,2.105
101,2.112
102,2.112
103,2.112
104,2.112
105,2.112
106,2.112
107,2.112
108,2.112
109,2.112
110,2.112
111,2.112
112,2.112
113,2.112
114,2.112
115,2.112
116,2.112
117,2.112
118,2.112
119,2.112
120,2.112
121,2.112
122,2.112
123,2.112
124,2.112
125,2.112
126,2.112
127,2.112
128,2.112
129,2.112
130,2.112
131,2.112
132,2.112
133,2.112
134,2.118
135,2.118
136,2.118
137,2.118
138,2.118
139,2.118
140,2.118
141,2.118
142,2.125
143,2.125
144,2.125
145,2.125
146,2.125
147,2.125
148,2.125
149,2.131
150,2.131
151,2.131
152,2.131
153,2.131
154,2.131
155,2.131
156,2.131
157,2.131
158,2.131
159,2.131
160,2.131
161,2.131
162,2.131
163,2.131
164,2.131
165,2.131
166,2.131
167,2.131
168,2.131
169,2.131
170,2.131
171,2.131
172,2.131
173,2.131
174,2.138
175,2.138
176,2.138
177,2.138
178,2.144
179,2.144
180,2.144
181,2.144
182,2.144
183,2.144
184,2.144
185,2.144
186,2.144
187,2.151
188,2.151
189,2.151
190,2.151
191,2.151
192,2.151
193,2.151
194,2.151
195,2.151
196,2.151
197,2.151
198,2.151
199,2.151
200,2.151
201,2.151
202,2.151
203,2.151
204,2.157
205,2.157
206,2.157
207,2.157
208,2.157
209,2.157
210,2.157
211,2.157
212,2.157
213,2.157
214,2.157
215,2.157
216,2.157
217,2.164
218,2.164
219,2.171
220,2.171
221,2.171
222,2.178
223,2.178
224,2.178
225,2.178
226,2.184
227,2.184
228,2.184
229,2.184
230,2.184
231,2.184
232,2.184
233,2.184
234,2.184
235,2.184
236,2.184
237,2.184
238,2.184
239,2.184
240,2.184
241,2.184
242,2.184
243,2.184
244,2.184
245,2.184
246,2.184
247,2.184
248,2.184
249,2.184
250,2.184
251,2.184
252,2.184
253,2.184
254,2.184
255,2.184
256,2.184
257,2.184
258,2.184
259,2.184
260,2.184
261,2.184
262,2.184
263,2.184
264,2.184
265,2.184
266,2.184
267,2.184
268,2.184
269,2.184
270,2.184
271,2.184
272,2.184
273,2.184
274,2.191
275,2.191
276,2.198
277,2.198
278,2.198
279,2.198
280,2.198
281,2.198
282,2.198
283,2.198
284,2.198
285,2.198
286,2.198
287,2.198
288,2.198
289,2.198
290,2.198
291,2.198
292,2.198
293,2.198
294,2.198
295,2.198
296,2.198
297,2.198
298,2.198
299,2.198
300,2.198
301,2.198
302,2.198
303,2.198
304,2.198
305,2.198
306,2.198
307,2.198
308,2.198
309,2.205
310,2.205
311,2.205
312,2.205
313,2.205
314,2.205
315,2.205
316,2.205
317,2.205
318,2.205
319,2.212
320,2.212
321,2.212
322,2.212
323,2.212
324,2.212
325,2.212
326,2.212
327,2.212
328,2.226
329,2.226
330,2.226
331,2.226
332,2.226
333,2.226
334,2.233
335,2.233
336,2.233
337,2.233
338,2.233
339,2.233
340,2.24
341,2.24
342,2.24
343,2.24
344,2.252
345,2.252
346,2.252
347,2.252
348,2.252
349,2.252
350,2.252
351,2.252
352,2.252
353,2.252
354,2.252
355,2.252
356,2.252
357,2.252
358,2.244
359,2.244
360,2.244
361,2.244
362,2.244
363,2.244
364,2.244
365,2.244
366,2.244
367,2.244
368,2.244
369,2.244
370,2.244
371,2.244
372,2.244
373,2.244
374,2.244
375,2.244
376,2.244
377,2.244
378,2.244
379,2.244
380,2.244
381,2.244
382,2.244
383,2.244
384,2.244
385,2.244
386,2.244
387,2.244
388,2.244
389,2.244
390,2.244
391,2.244
392,2.244
393,2.244
394,2.244
395,2.244
396,2.244
397,2.244
398,2.244
399,2.244
400,2.244
401,2.252
402,2.252
403,2.252
404,2.252
405,2.252
406,2.252
407,2.252
408,2.252
409,2.252
410,2.259
411,2.259
412,2.259
413,2.259
414,2.259
415,2.259
416,2.259
417,2.259
