,0
0,1.92
1,1.92
2,1.92
3,1.92
4,1.92
5,1.92
6,1.92
7,1.926
8,1.926
9,1.926
10,1.926
11,1.926
12,1.926
13,1.926
14,1.926
15,1.931
16,1.931
17,1.931
18,1.931
19,1.931
20,1.931
21,1.931
22,1.936
23,1.936
24,1.936
25,1.936
26,1.936
27,1.936
28,1.936
29,1.936
30,1.942
31,1.947
32,1.947
33,1.947
34,1.953
35,1.958
36,1.958
37,1.963
38,1.969
39,1.969
40,1.969
41,1.975
42,1.98
43,1.98
44,1.98
45,1.986
46,1.986
47,1.98
48,1.98
49,1.98
50,1.98
51,1.98
52,1.98
53,1.98
54,1.98
55,1.98
56,1.991
57,1.991
58,1.991
59,1.991
60,1.997
61,1.997
62,2.003
63,2.009
64,2.009
65,2.009
66,2.009
67,2.009
68,2.009
69,2.009
70,2.009
71,2.009
72,2.009
73,2.014
74,2.014
75,2.014
76,2.014
77,2.014
78,2.014
79,2.02
80,2.02
81,2.02
82,2.02
83,2.02
84,2.02
85,2.02
86,2.014
87,2.014
88,2.014
89,2.014
90,2.014
91,2.014
92,2.014
93,2.014
94,2.014
95,2.009
96,2.009
97,2.014
98,2.014
99,2.02
100,2.02
101,2.02
102,2.026
103,2.02
104,2.02
105,2.02
106,2.02
107,2.014
108,2.014
109,2.014
110,2.014
111,2.02
112,2.02
113,2.02
114,2.02
115,2.02
116,2.02
117,2.026
118,2.026
119,2.026
120,2.026
121,2.026
122,2.026
123,2.032
124,2.032
125,2.038
126,2.038
127,2.038
128,2.038
129,2.038
130,2.038
131,2.038
132,2.038
133,2.038
134,2.038
135,2.038
136,2.038
137,2.038
138,2.038
139,2.038
140,2.038
141,2.044
142,2.044
143,2.05
144,2.05
145,2.056
146,2.062
147,2.062
148,2.062
149,2.062
150,2.068
151,2.068
152,2.068
153,2.074
154,2.074
155,2.074
156,2.074
157,2.074
158,2.074
159,2.074
160,2.074
161,2.074
162,2.08
163,2.08
164,2.08
165,2.08
166,2.08
167,2.08
168,2.08
169,2.08
170,2.074
171,2.074
172,2.08
173,2.08
174,2.08
175,2.08
176,2.08
177,2.08
178,2.08
179,2.08
180,2.08
181,2.08
182,2.08
183,2.08
184,2.08
185,2.08
186,2.08
187,2.08
188,2.08
189,2.08
190,2.08
191,2.08
192,2.08
193,2.08
194,2.08
195,2.08
196,2.08
197,2.08
198,2.08
199,2.08
200,2.08
201,2.08
202,2.074
203,2.068
204,2.068
205,2.08
206,2.08
207,2.08
208,2.08
209,2.08
210,2.08
211,2.08
212,2.08
213,2.074
214,2.074
215,2.074
216,2.074
217,2.08
218,2.08
219,2.08
220,2.08
221,2.08
222,2.087
223,2.087
224,2.093
225,2.099
226,2.099
227,2.099
228,2.099
229,2.099
230,2.099
231,2.105
232,2.105
233,2.105
234,2.105
235,2.105
236,2.105
237,2.105
238,2.112
239,2.118
240,2.118
241,2.118
242,2.118
243,2.118
244,2.118
245,2.118
246,2.118
247,2.118
248,2.118
249,2.118
250,2.118
251,2.125
252,2.125
253,2.125
254,2.131
255,2.131
256,2.131
257,2.131
258,2.131
259,2.131
260,2.131
261,2.131
262,2.131
263,2.131
264,2.131
265,2.131
266,2.131
267,2.131
268,2.131
269,2.138
270,2.138
271,2.138
272,2.138
273,2.138
274,2.138
275,2.138
276,2.138
277,2.138
278,2.138
279,2.131
280,2.131
281,2.131
282,2.131
283,2.131
284,2.131
285,2.131
286,2.125
287,2.125
288,2.118
289,2.112
290,2.112
291,2.112
292,2.112
293,2.112
294,2.112
295,2.112
296,2.112
297,2.105
298,2.105
299,2.105
300,2.105
301,2.105
302,2.105
303,2.105
304,2.105
305,2.105
306,2.105
307,2.105
308,2.105
309,2.105
310,2.105
311,2.105
312,2.105
313,2.105
314,2.112
315,2.105
316,2.105
317,2.105
318,2.105
319,2.105
320,2.105
321,2.105
322,2.105
323,2.105
324,2.105
325,2.105
326,2.105
327,2.105
328,2.105
329,2.112
330,2.112
331,2.112
332,2.105
333,2.105
334,2.105
335,2.105
336,2.105
337,2.093
338,2.093
339,2.093
340,2.087
341,2.087
342,2.087
343,2.087
344,2.087
345,2.087
346,2.087
347,2.087
348,2.087
349,2.087
350,2.093
351,2.093
352,2.093
353,2.093
354,2.093
355,2.093
356,2.093
357,2.093
358,2.093
359,2.093
360,2.08
361,2.08
362,2.08
363,2.08
364,2.08
365,2.08
366,2.08
367,2.08
368,2.08
369,2.08
370,2.08
371,2.08
372,2.08
373,2.08
374,2.068
375,2.062
376,2.062
377,2.062
378,2.062
379,2.062
380,2.068
381,2.068
382,2.068
383,2.068
384,2.068
385,2.068
386,2.068
387,2.068
388,2.074
389,2.074
390,2.08
391,2.08
392,2.08
393,2.087
394,2.087
395,2.087
396,2.087
397,2.087
398,2.087
399,2.087
400,2.08
401,2.08
402,2.08
403,2.08
404,2.08
405,2.074
406,2.074
407,2.074
408,2.074
409,2.074
410,2.08
411,2.087
412,2.087
413,2.087
414,2.099
415,2.099
416,2.099
417,2.105
418,2.105
419,2.105
420,2.105
421,2.105
422,2.105
423,2.112
424,2.112
425,2.112
426,2.112
427,2.112
428,2.112
429,2.112
430,2.112
431,2.112
432,2.112
433,2.112
434,2.112
435,2.112
436,2.112
437,2.112
438,2.118
439,2.112
440,2.112
