,0
0,1.902
1,1.902
2,1.907
3,1.902
4,1.902
5,1.902
6,1.897
7,1.892
8,1.892
9,1.892
10,1.892
11,1.892
12,1.892
13,1.892
14,1.892
15,1.892
16,1.892
17,1.892
18,1.886
19,1.886
20,1.892
21,1.886
22,1.892
23,1.892
24,1.886
25,1.892
26,1.892
27,1.892
28,1.892
29,1.897
30,1.892
31,1.892
32,1.897
33,1.897
34,1.902
35,1.902
36,1.902
37,1.902
38,1.902
39,1.902
40,1.897
41,1.897
42,1.897
43,1.897
44,1.897
45,1.897
46,1.892
47,1.892
48,1.892
49,1.881
50,1.876
51,1.876
52,1.866
53,1.866
54,1.866
55,1.871
56,1.871
57,1.871
58,1.871
59,1.871
60,1.871
61,1.869
62,1.869
63,1.864
64,1.869
65,1.864
66,1.864
67,1.859
68,1.859
69,1.869
70,1.874
71,1.879
72,1.874
73,1.874
74,1.874
75,1.869
76,1.869
77,1.864
78,1.869
79,1.869
80,1.874
81,1.879
82,1.889
83,1.894
84,1.904
85,1.904
86,1.904
87,1.904
88,1.904
89,1.899
90,1.904
91,1.899
92,1.899
93,1.899
94,1.899
95,1.899
96,1.899
97,1.899
98,1.904
99,1.904
100,1.904
101,1.904
102,1.894
103,1.894
104,1.894
105,1.894
106,1.899
107,1.899
108,1.899
109,1.899
110,1.899
111,1.899
112,1.899
113,1.899
114,1.899
115,1.904
116,1.904
117,1.91
118,1.915
119,1.915
120,1.915
121,1.91
122,1.91
123,1.91
124,1.91
125,1.91
126,1.915
127,1.91
128,1.915
129,1.915
130,1.915
131,1.915
132,1.915
133,1.92
134,1.92
135,1.925
136,1.925
137,1.925
138,1.925
139,1.92
140,1.92
141,1.925
142,1.925
143,1.92
144,1.925
145,1.936
146,1.936
147,1.936
148,1.931
149,1.931
150,1.931
151,1.931
152,1.931
153,1.931
154,1.931
155,1.931
156,1.931
157,1.931
158,1.931
159,1.925
160,1.925
161,1.925
162,1.931
163,1.931
164,1.936
165,1.936
166,1.936
167,1.936
168,1.936
169,1.936
170,1.936
171,1.931
172,1.931
173,1.931
174,1.931
175,1.926
176,1.92
177,1.92
178,1.92
179,1.915
180,1.92
181,1.92
182,1.926
183,1.926
184,1.926
185,1.926
186,1.931
187,1.942
188,1.942
189,1.942
190,1.942
191,1.942
192,1.942
193,1.936
194,1.942
195,1.947
196,1.947
197,1.953
198,1.953
199,1.953
200,1.953
201,1.953
202,1.947
203,1.947
204,1.953
205,1.958
206,1.958
207,1.958
208,1.958
209,1.958
210,1.958
211,1.953
212,1.953
213,1.953
214,1.953
215,1.953
216,1.953
217,1.958
218,1.958
219,1.958
220,1.963
221,1.969
222,1.969
223,1.963
224,1.963
225,1.963
226,1.963
227,1.963
228,1.963
229,1.963
230,1.963
231,1.963
232,1.963
233,1.963
234,1.963
235,1.963
236,1.963
237,1.963
238,1.963
239,1.963
240,1.958
241,1.958
242,1.958
243,1.958
244,1.963
245,1.958
246,1.963
247,1.953
248,1.958
249,1.958
250,1.958
251,1.958
252,1.953
253,1.953
254,1.953
255,1.947
256,1.947
257,1.942
258,1.947
259,1.942
260,1.942
261,1.942
262,1.942
263,1.942
264,1.936
265,1.936
266,1.936
267,1.936
268,1.936
269,1.936
270,1.931
271,1.931
272,1.931
273,1.931
274,1.931
275,1.931
276,1.931
277,1.926
278,1.926
279,1.92
280,1.915
281,1.91
282,1.915
283,1.915
284,1.915
285,1.926
286,1.92
287,1.92
288,1.931
289,1.931
290,1.931
291,1.931
292,1.92
293,1.92
294,1.92
295,1.92
296,1.92
297,1.926
298,1.926
299,1.915
300,1.915
301,1.926
302,1.926
303,1.926
304,1.926
305,1.931
306,1.931
307,1.931
308,1.926
309,1.926
310,1.926
311,1.92
312,1.92
313,1.92
314,1.92
315,1.926
316,1.926
317,1.926
318,1.926
319,1.931
320,1.931
321,1.931
322,1.926
323,1.92
324,1.92
325,1.92
326,1.926
327,1.926
328,1.926
329,1.92
330,1.926
331,1.926
332,1.926
333,1.931
334,1.931
335,1.931
336,1.931
337,1.931
338,1.931
339,1.931
340,1.92
341,1.92
342,1.915
343,1.915
344,1.915
345,1.92
346,1.92
347,1.915
348,1.915
349,1.915
350,1.915
351,1.91
352,1.905
353,1.905
354,1.905
355,1.899
356,1.894
357,1.894
358,1.905
359,1.905
360,1.899
361,1.899
362,1.894
363,1.899
364,1.905
365,1.899
366,1.894
367,1.894
368,1.894
369,1.894
370,1.894
371,1.894
372,1.894
373,1.899
374,1.899
375,1.894
376,1.894
377,1.894
378,1.899
379,1.899
380,1.899
381,1.894
382,1.894
383,1.889
384,1.889
385,1.889
386,1.889
387,1.894
388,1.889
389,1.889
390,1.889
391,1.894
392,1.889
393,1.889
394,1.884
395,1.884
396,1.884
397,1.884
398,1.884
399,1.884
400,1.884
401,1.874
402,1.879
403,1.874
404,1.874
405,1.879
406,1.879
407,1.879
408,1.879
409,1.879
410,1.879
411,1.879
412,1.889
413,1.889
414,1.889
415,1.889
416,1.889
417,1.889
418,1.884
419,1.884
420,1.889
421,1.889
422,1.884
423,1.884
424,1.889
425,1.894
426,1.894
427,1.894
428,1.894
429,1.889
430,1.884
431,1.884
432,1.884
433,1.884
434,1.884
435,1.884
436,1.884
437,1.879
438,1.879
439,1.879
440,1.879
441,1.879
442,1.884
443,1.884
444,1.884
445,1.884
446,1.889
447,1.889
448,1.894
449,1.894
450,1.894
451,1.894
452,1.894
453,1.889
454,1.889
455,1.889
456,1.889
457,1.894
458,1.894
459,1.894
460,1.894
461,1.894
462,1.894
463,1.894
464,1.894
465,1.899
466,1.899
467,1.889
468,1.889
469,1.889
470,1.884
471,1.884
472,1.884
473,1.884
474,1.889
475,1.889
476,1.889
477,1.889
478,1.889
479,1.884
480,1.879
481,1.879
482,1.879
483,1.879
484,1.884
485,1.889
486,1.889
487,1.894
488,1.894
489,1.894
490,1.899
491,1.905
492,1.905
493,1.905
494,1.899
495,1.899
496,1.905
497,1.905
498,1.91
499,1.905
500,1.905
501,1.905
502,1.905
503,1.91
504,1.91
505,1.91
506,1.91
507,1.905
508,1.91
509,1.91
510,1.905
511,1.905
512,1.905
513,1.905
514,1.91
515,1.91
516,1.91
517,1.91
518,1.91
519,1.91
520,1.905
521,1.905
522,1.899
523,1.894
524,1.894
525,1.894
526,1.899
527,1.894
528,1.894
529,1.889
530,1.884
531,1.884
532,1.884
533,1.884
534,1.884
535,1.884
536,1.884
537,1.889
538,1.889
539,1.889
540,1.889
541,1.889
542,1.889
543,1.889
544,1.889
545,1.889
546,1.894
547,1.894
548,1.894
549,1.889
550,1.889
551,1.894
552,1.889
553,1.889
554,1.889
555,1.889
556,1.889
557,1.889
558,1.889
559,1.889
560,1.889
561,1.894
562,1.894
563,1.894
564,1.899
565,1.905
566,1.91
567,1.915
568,1.915
569,1.915
570,1.92
571,1.92
572,1.92
573,1.92
574,1.92
575,1.92
576,1.915
577,1.92
578,1.926
579,1.926
580,1.926
581,1.931
582,1.931
583,1.926
584,1.926
585,1.931
586,1.931
587,1.926
588,1.926
589,1.931
590,1.931
591,1.936
592,1.936
593,1.931
594,1.936
595,1.931
596,1.931
597,1.926
598,1.926
599,1.931
600,1.936
601,1.936
602,1.936
603,1.936
604,1.936
605,1.936
606,1.942
607,1.942
608,1.942
609,1.942
610,1.942
611,1.947
612,1.942
613,1.942
614,1.942
615,1.931
616,1.931
617,1.936
618,1.942
619,1.942
620,1.936
621,1.931
622,1.931
623,1.931
624,1.931
625,1.936
626,1.942
627,1.942
628,1.942
629,1.942
630,1.942
631,1.942
632,1.942
633,1.947
634,1.953
635,1.953
636,1.958
637,1.958
638,1.958
639,1.953
640,1.947
641,1.947
642,1.953
643,1.953
644,1.953
645,1.947
646,1.947
647,1.947
648,1.947
649,1.947
650,1.942
651,1.942
652,1.942
653,1.936
654,1.936
655,1.942
656,1.942
657,1.936
658,1.942
659,1.936
660,1.942
661,1.936
662,1.936
663,1.936
664,1.936
665,1.936
666,1.936
667,1.936
668,1.942
669,1.942
670,1.942
671,1.942
672,1.936
673,1.936
674,1.947
675,1.947
676,1.953
677,1.953
678,1.947
679,1.947
680,1.942
681,1.936
682,1.936
683,1.936
684,1.942
685,1.947
686,1.947
687,1.947
688,1.953
689,1.953
690,1.958
691,1.958
692,1.958
693,1.958
694,1.958
695,1.958
696,1.958
697,1.947
698,1.947
699,1.947
700,1.947
701,1.947
702,1.947
703,1.947
704,1.947
705,1.953
706,1.953
707,1.953
708,1.953
709,1.953
710,1.953
711,1.953
712,1.953
713,1.953
714,1.953
715,1.958
716,1.958
717,1.963
718,1.963
719,1.969
720,1.969
721,1.969
722,1.963
723,1.969
724,1.969
725,1.969
726,1.969
727,1.969
728,1.969
729,1.958
730,1.958
731,1.958
732,1.953
733,1.947
734,1.953
735,1.953
736,1.947
737,1.947
738,1.947
739,1.947
740,1.947
741,1.947
742,1.953
743,1.953
744,1.947
745,1.953
746,1.953
747,1.953
748,1.953
749,1.953
750,1.953
751,1.953
752,1.953
753,1.953
754,1.958
755,1.953
756,1.953
757,1.953
758,1.958
759,1.958
760,1.958
761,1.963
762,1.963
763,1.963
764,1.969
765,1.963
766,1.963
767,1.963
768,1.963
769,1.963
770,1.963
771,1.969
772,1.975
773,1.969
774,1.969
775,1.969
776,1.975
777,1.975
778,1.975
779,1.969
780,1.969
781,1.969
782,1.969
783,1.963
784,1.963
785,1.969
786,1.963
787,1.963
788,1.963
789,1.963
790,1.963
791,1.963
792,1.963
793,1.963
794,1.963
795,1.963
796,1.958
797,1.958
798,1.953
799,1.953
800,1.953
801,1.947
802,1.947
803,1.947
804,1.942
805,1.936
806,1.931
807,1.931
808,1.926
809,1.926
810,1.926
811,1.926
812,1.923
813,1.923
814,1.923
815,1.923
816,1.923
817,1.923
818,1.923
819,1.928
820,1.928
821,1.933
822,1.939
