,0
0,1.963
1,1.963
2,1.963
3,1.963
4,1.963
5,1.963
6,1.974
7,1.974
8,1.974
9,1.974
10,1.974
11,1.963
12,1.963
13,1.958
14,1.958
15,1.952
16,1.952
17,1.947
18,1.947
19,1.952
20,1.952
21,1.947
22,1.941
23,1.941
24,1.947
25,1.947
26,1.952
27,1.947
28,1.952
29,1.952
30,1.952
31,1.952
32,1.963
33,1.958
34,1.963
35,1.958
36,1.958
37,1.969
38,1.974
39,1.98
40,1.974
41,1.969
42,1.969
43,1.963
44,1.958
45,1.958
46,1.958
47,1.952
48,1.952
49,1.952
50,1.947
51,1.947
52,1.952
53,1.952
54,1.952
55,1.958
56,1.958
57,1.958
58,1.963
59,1.958
60,1.958
61,1.958
62,1.947
63,1.947
64,1.952
65,1.952
66,1.952
67,1.952
68,1.958
69,1.958
70,1.958
71,1.952
72,1.952
73,1.952
74,1.952
75,1.952
76,1.952
77,1.958
78,1.958
79,1.958
80,1.952
81,1.958
82,1.952
83,1.941
84,1.941
85,1.947
86,1.947
87,1.947
88,1.947
89,1.947
90,1.947
91,1.947
92,1.947
93,1.947
94,1.941
95,1.941
96,1.941
97,1.947
98,1.941
99,1.941
100,1.941
101,1.941
102,1.941
103,1.947
104,1.947
105,1.941
106,1.947
107,1.947
108,1.947
109,1.947
110,1.947
111,1.947
112,1.947
113,1.947
114,1.947
115,1.947
116,1.947
117,1.947
118,1.941
119,1.941
120,1.941
121,1.947
122,1.947
123,1.941
124,1.941
125,1.947
126,1.947
127,1.947
128,1.952
129,1.952
130,1.958
131,1.952
132,1.952
133,1.947
134,1.947
135,1.952
136,1.958
137,1.958
138,1.963
139,1.963
140,1.963
141,1.963
142,1.963
143,1.963
144,1.963
145,1.963
146,1.963
147,1.963
148,1.963
149,1.969
150,1.969
151,1.963
152,1.969
153,1.974
154,1.98
155,1.986
156,1.986
157,1.986
158,1.991
159,1.991
160,2.003
161,2.003
162,1.997
163,1.997
164,1.997
165,1.997
166,1.991
167,1.986
168,1.986
169,1.991
170,1.98
171,1.98
172,1.98
173,1.98
174,1.974
175,1.98
176,1.986
177,1.986
178,1.986
179,1.986
180,1.991
181,1.991
182,1.991
183,1.991
184,1.991
185,1.986
186,1.986
187,1.986
188,1.986
189,1.986
190,1.986
191,1.991
192,1.991
193,1.991
194,1.997
195,1.997
196,1.997
197,1.991
198,1.991
199,1.991
200,1.991
201,1.991
202,1.991
203,1.986
204,1.98
205,1.986
206,1.98
207,1.986
208,1.986
209,1.98
210,1.98
211,1.98
212,1.974
213,1.98
214,1.98
215,1.986
216,1.986
217,1.986
218,1.98
219,1.98
220,1.98
221,1.98
222,1.98
223,1.98
224,1.98
225,1.98
226,1.986
227,1.98
228,1.974
229,1.974
230,1.969
231,1.969
232,1.969
233,1.969
234,1.963
235,1.963
236,1.963
237,1.963
238,1.963
239,1.963
240,1.963
241,1.958
242,1.952
243,1.952
244,1.958
245,1.958
246,1.963
247,1.963
248,1.963
249,1.963
250,1.963
251,1.963
