,0
0,2.087
1,2.087
2,2.087
3,2.087
4,2.087
5,2.087
6,2.087
7,2.087
8,2.087
9,2.087
10,2.093
11,2.093
12,2.087
13,2.087
14,2.08
15,2.08
16,2.08
17,2.08
18,2.08
19,2.08
20,2.08
21,2.08
22,2.08
23,2.08
24,2.08
25,2.08
26,2.08
27,2.08
28,2.08
29,2.08
30,2.08
31,2.08
32,2.08
33,2.08
34,2.08
35,2.08
36,2.08
37,2.087
38,2.087
39,2.087
40,2.087
41,2.087
42,2.087
43,2.087
44,2.087
45,2.087
46,2.087
47,2.087
48,2.087
49,2.087
50,2.087
51,2.087
52,2.087
53,2.087
54,2.087
55,2.087
56,2.093
57,2.093
58,2.093
59,2.093
60,2.093
61,2.093
62,2.093
63,2.093
64,2.093
65,2.093
66,2.093
67,2.093
68,2.093
69,2.093
70,2.093
71,2.093
72,2.093
73,2.099
74,2.099
75,2.099
76,2.105
77,2.105
78,2.112
79,2.112
80,2.118
81,2.118
82,2.118
83,2.118
84,2.125
85,2.125
86,2.125
87,2.125
88,2.125
89,2.125
90,2.131
91,2.131
92,2.131
93,2.131
94,2.131
95,2.131
96,2.138
97,2.144
98,2.144
99,2.144
100,2.144
101,2.144
102,2.144
103,2.144
104,2.144
105,2.144
106,2.144
107,2.144
108,2.144
109,2.151
110,2.151
111,2.151
112,2.151
113,2.151
114,2.151
115,2.151
116,2.151
117,2.151
118,2.151
119,2.151
120,2.151
121,2.151
122,2.151
123,2.151
124,2.151
125,2.151
126,2.151
127,2.151
128,2.157
129,2.157
130,2.157
131,2.157
132,2.157
133,2.157
134,2.157
135,2.157
136,2.164
137,2.164
138,2.157
139,2.157
140,2.157
141,2.157
142,2.157
143,2.157
144,2.157
145,2.157
146,2.164
147,2.164
148,2.157
149,2.157
150,2.157
151,2.164
152,2.164
153,2.164
154,2.164
155,2.171
156,2.171
157,2.171
158,2.171
159,2.178
160,2.178
161,2.178
162,2.184
163,2.198
164,2.198
165,2.198
166,2.198
167,2.205
168,2.212
169,2.226
170,2.226
171,2.226
172,2.233
173,2.24
174,2.24
175,2.24
176,2.24
177,2.24
178,2.24
179,2.24
180,2.24
181,2.24
182,2.24
183,2.24
184,2.24
185,2.24
186,2.24
187,2.24
188,2.24
189,2.24
190,2.24
191,2.24
192,2.24
193,2.24
194,2.24
195,2.24
196,2.24
197,2.24
198,2.24
199,2.24
200,2.24
201,2.233
202,2.233
203,2.233
204,2.233
205,2.233
206,2.233
207,2.233
208,2.24
209,2.24
210,2.248
211,2.248
212,2.248
213,2.248
214,2.248
215,2.248
216,2.248
217,2.24
218,2.24
219,2.24
220,2.24
221,2.24
222,2.24
223,2.24
224,2.24
225,2.24
226,2.24
227,2.24
228,2.24
229,2.24
230,2.24
231,2.24
232,2.248
233,2.248
234,2.248
235,2.248
236,2.248
237,2.248
238,2.248
239,2.248
240,2.248
241,2.248
242,2.248
243,2.248
244,2.248
245,2.248
246,2.248
247,2.248
248,2.255
249,2.255
250,2.255
251,2.255
252,2.255
253,2.255
254,2.255
255,2.255
256,2.255
257,2.255
258,2.255
259,2.255
260,2.262
261,2.269
262,2.262
263,2.262
264,2.269
265,2.269
266,2.269
267,2.269
268,2.269
269,2.269
270,2.269
271,2.269
272,2.269
273,2.269
274,2.277
275,2.277
276,2.284
277,2.284
278,2.284
279,2.284
280,2.284
281,2.284
282,2.284
283,2.284
284,2.292
285,2.292
286,2.292
287,2.292
288,2.292
289,2.292
290,2.292
291,2.292
292,2.292
293,2.292
294,2.292
295,2.292
296,2.307
297,2.307
298,2.307
299,2.307
300,2.307
301,2.307
302,2.307
303,2.307
304,2.307
305,2.307
306,2.307
307,2.307
308,2.307
309,2.307
310,2.307
311,2.307
312,2.307
313,2.307
314,2.307
315,2.307
316,2.307
317,2.307
318,2.307
319,2.315
320,2.315
321,2.315
322,2.315
323,2.322
324,2.322
325,2.322
326,2.322
327,2.322
328,2.322
329,2.322
330,2.322
331,2.322
332,2.322
333,2.322
334,2.322
335,2.322
336,2.322
337,2.322
338,2.322
339,2.322
340,2.322
341,2.322
342,2.322
343,2.322
344,2.33
345,2.33
346,2.33
347,2.33
348,2.338
349,2.338
350,2.338
351,2.338
352,2.338
353,2.338
354,2.346
355,2.346
356,2.346
357,2.346
358,2.346
359,2.346
360,2.346
361,2.346
362,2.346
363,2.346
364,2.346
365,2.346
366,2.346
367,2.354
368,2.346
369,2.346
370,2.346
371,2.346
372,2.346
373,2.346
374,2.346
375,2.346
376,2.346
377,2.346
378,2.346
379,2.346
380,2.346
381,2.346
382,2.346
383,2.346
384,2.346
385,2.346
386,2.346
387,2.346
388,2.346
389,2.346
390,2.346
391,2.346
392,2.346
393,2.346
394,2.346
395,2.346
396,2.346
397,2.354
398,2.354
399,2.354
400,2.354
401,2.354
402,2.354
403,2.354
404,2.354
405,2.354
406,2.354
407,2.354
408,2.354
409,2.354
410,2.354
411,2.354
412,2.354
413,2.354
414,2.354
415,2.354
416,2.346
417,2.354
418,2.354
419,2.354
420,2.354
421,2.354
422,2.354
423,2.354
424,2.354
425,2.354
426,2.354
427,2.354
428,2.346
429,2.346
430,2.346
431,2.346
432,2.346
433,2.346
434,2.346
435,2.346
436,2.338
437,2.338
438,2.338
439,2.338
440,2.338
441,2.338
442,2.338
443,2.338
444,2.338
445,2.346
446,2.346
447,2.346
448,2.346
449,2.346
450,2.346
451,2.346
452,2.346
453,2.346
454,2.346
455,2.346
456,2.346
457,2.354
458,2.354
459,2.361
460,2.361
461,2.369
462,2.378
463,2.378
464,2.378
465,2.386
466,2.386
467,2.386
468,2.386
469,2.386
470,2.386
471,2.386
472,2.394
473,2.394
474,2.394
475,2.394
476,2.394
477,2.394
478,2.394
479,2.394
480,2.394
481,2.402
482,2.402
483,2.402
484,2.402
485,2.402
486,2.402
487,2.402
488,2.402
489,2.402
490,2.402
491,2.402
492,2.402
493,2.402
494,2.402
495,2.402
496,2.402
497,2.402
498,2.402
499,2.402
500,2.402
501,2.402
502,2.41
503,2.41
504,2.41
505,2.419
506,2.427
507,2.427
508,2.427
509,2.427
510,2.427
511,2.427
512,2.427
513,2.427
514,2.427
515,2.427
516,2.427
517,2.427
518,2.427
519,2.419
520,2.419
521,2.419
522,2.419
523,2.427
524,2.427
525,2.427
526,2.427
527,2.419
528,2.419
529,2.419
530,2.419
531,2.419
